"Item Id","Sold Date","Canceled Date","Completed Date","Item Title","Order Status","Shipped to State","Shipped from State","Item Price","Buyer Shipping Fee","Seller Shipping Fee","Mercari Selling Fee","Payment Processing Fee","Shipping Adjustment Fee","Net Seller Proceeds","Sales Tax Charged to Buyer","Merchant Fees Charged to Buyer"
"m70330647056","2023-10-23","","2023-10-27","Alice + Olivia wide leg pants","Completed","Illinois","Georgia","19.50","4.99","0.00","1.95","1.21","0.00","16.34","1.71","0.00"
"m74184349618","2023-10-22","","2023-10-29","H&M brown sweater","Completed","Michigan","Georgia","8.00","7.99","0.00","0.80","0.96","0.00","6.24","0.48","0.00"
"m33507133504","2023-10-22","","2023-10-29","stuart weitzman  black strap sandals","Completed","Texas","Georgia","60.50","7.40","0.00","6.05","2.47","0.00","51.98","5.60","0.00"
"m10477395761","2023-10-24","","2023-10-30","Zara shearling leather jacket","Completed","Florida","Georgia","64.00","7.99","0.00","6.40","2.59","0.00","55.01","5.40","0.00"
"m70164330494","2023-10-24","","2023-10-30","Marc Jacobs Dot Perfume 50 ml","Completed","Texas","Georgia","34.00","7.40","0.00","3.40","1.70","0.00","28.90","3.42","0.00"
"m46278195952","2023-10-26","","2023-11-02","Versace Eros men perfume 100ml","Completed","Indiana","Georgia","35.00","4.99","0.00","3.50","1.66","0.00","29.84","2.80","0.00"
"m91912518139","2023-10-29","","2023-11-03","Elizabeth Arden RETINOL Ceramide Capsules Line Erasing Night Serum Anti Aging","Completed","Florida","Georgia","19.00","4.99","0.00","1.90","1.20","0.00","15.90","1.68","0.00"
"m24407789356","2023-11-01","","2023-11-04","Ysl lipstick water Stain 613","Completed","New York","Georgia","12.00","4.30","0.00","1.20","0.97","0.00","9.83","1.45","0.00"
"m93416995554","2023-10-31","","2023-11-05","Allsanints men’s shirt","Completed","New Jersey","Georgia","16.00","7.40","0.00","1.60","1.18","0.00","13.22","0.00","0.00"
"m78036726213","2023-11-02","","2023-11-05","Mac lipstick bundle","Completed","Nevada","Georgia","18.00","4.99","0.00","1.80","1.17","0.00","15.03","1.51","0.00"
"m86218020863","2023-10-23","","2023-11-06","Sisley-Paris Izia Eau de Parfum, 1.6 oz","Completed","Colorado","Georgia","52.50","7.40","0.00","5.25","2.24","0.00","45.01","4.38","0.00"
"m11854258039","2023-11-03","","2023-11-06","Ralph Lauren men Polo size L","Completed","Alabama","Georgia","16.00","4.99","0.00","1.60","1.11","2.41","10.88","1.28","0.00"
"m75464264629","2023-11-04","","2023-11-09","Huda Beauty foundation stick 200","Completed","New York","Georgia","11.00","4.30","0.00","1.10","0.94","0.00","8.96","1.36","0.00"
